TPHE-A,14.651,15.444,14.216,13.811,T Phe A   
TPHE-B,12.334,12.739,12.072,11.801,T Phe B   
TPHE-C,14.376,14.078,14.524,14.735,T Phe C   
TPHE-D,13.118,14.669,12.269,11.459,T Phe D   
TPHE-E,11.630,12.073,11.354,11.071,T Phe E   
TPHE-F,12.474,13.329,11.982,11.547,T Phe F   
TPHE-G,10.442,11.988,9.508,8.423,T Phe G   
0029+024,15.268,15.630,15.017,14.680,PG0029+024
0039+049,12.877,12.858,12.810,12.713,PG0039+049
92-309,13.842,14.355,13.516,13.191,SA92 309  
92-235,10.595,12.233,9.701,8.790,SA92 235  
92-322,12.676,13.204,12.374,12.069,SA92 322  
92-245,13.818,15.236,12.889,11.982,SA92 245  
92-248,15.346,16.474,14.656,14.103,SA92 248  
92-249,14.325,15.024,13.926,13.556,SA92 249  
92-250,13.178,13.992,12.732,12.338,SA92 250  
92-330,15.073,15.641,14.742,14.408,SA92 330  
92-252,14.932,15.449,14.606,14.274,SA92 252  
92-253,14.085,15.216,13.366,12.750,SA92 253  
92-335,12.523,13.195,12.143,11.805,SA92 335  
92-339,15.579,16.028,15.273,14.934,SA92 339  
92-342,11.613,12.049,11.347,11.077,SA92 342  
92-188,14.751,15.801,14.072,13.499,SA92 188  
92-409,10.627,11.765,9.893,9.268,SA92 409  
92-410,14.984,15.382,14.745,14.503,SA92 410  
92-412,15.036,15.493,14.751,14.447,SA92 412  
92-259,14.997,15.639,14.627,14.175,SA92 259  
92-345,15.216,15.961,14.751,14.275,SA92 345  
92-347,15.752,16.295,15.413,15.095,SA92 347  
92-260,15.071,16.233,14.352,13.744,SA92 260  
92-348,12.109,12.707,11.764,11.423,SA92 348  
92-417,15.922,16.399,15.571,15.266,SA92 417  
92-263,11.782,12.830,11.219,10.697,SA92 263  
92-497,13.642,14.371,13.238,12.860,SA92 497  
92-498,14.408,15.418,13.760,13.229,SA92 498  
92-500,15.841,16.844,15.103,14.504,SA92 500  
92-425,13.941,15.132,13.186,12.559,SA92 425  
92-501,12.958,13.568,12.613,12.282,SA92 501  
92-426,14.466,15.195,14.054,13.658,SA92 426  
92-355,14.965,16.129,14.206,13.561,SA92 355  
92-427,14.953,15.762,14.491,11.569,SA92 427  
92-502,11.812,12.298,11.528,11.236,SA92 502  
92-430,14.440,15.007,14.102,13.764,SA92 430  
92-276,12.036,12.665,11.668,11.311,SA92 276  
92-282,12.969,13.287,12.768,12.547,SA92 282  
92-508,11.679,12.208,11.361,11.041,SA92 508  
92-507,11.332,12.264,10.825,10.364,SA92 507  
92-364,11.673,12.280,11.317,10.960,SA92 364  
92-433,11.667,12.322,11.300,10.952,SA92 433  
92-288,11.630,12.485,11.141,10.700,SA92 288  
F-11,12.065,11.825,12.185,12.327,Feige 11      
F-16,12.406,12.394,12.409,12.407,Feige 16      
93-407,11.971,12.823,11.484,11.063,SA93 407  
93-317,11.546,12.034,11.253,10.955,SA93 317  
93-333,12.011,12.843,11.542,11.120,SA93 333  
93-424,11.620,12.703,11.066,10.564,SA93 424  
G3-33,12.298,14.102,10.943,9.192,G3-33     
0220+132,14.216,15.153,13.654,13.158,PG0220+132
0220+132,14.760,14.628,14.810,14.930,PG0220+132
0220+132,15.771,16.554,15.257,14.776,PG0220+132
F-22,12.799,12.745,12.902,13.007,Feige 22      
